116. MAZOWIECKIE; Maków Mazowiecki; gmina miejska
117. MAZOWIECKIE; Czerwonka; gmina wiejska
118. MAZOWIECKIE; Karniewo; gmina wiejska
119. MAZOWIECKIE; Krasnosielc; gmina wiejska
120. MAZOWIECKIE; Młynarze; gmina wiejska
121. MAZOWIECKIE; Płoniawy-Bramura; gmina wiejska
122. MAZOWIECKIE; Różan; gmina miejsko-wiejska
123. MAZOWIECKIE; Różan; miasto
124. MAZOWIECKIE; Różan; obszar wiejski
125. MAZOWIECKIE; Rzewnie; gmina wiejska
126. MAZOWIECKIE; Sypniewo; gmina wiejska
127. MAZOWIECKIE; Szelków; gmina wiejska
128. MAZOWIECKIE; miński; powiat
129. MAZOWIECKIE; Mińsk Mazowiecki; gmina miejska
130. MAZOWIECKIE; Cegłów; gmina wiejska
131. MAZOWIECKIE; Dębe Wielkie; gmina wiejska
132. MAZOWIECKIE; Dobre; gmina wiejska
133. MAZOWIECKIE; Halinów; gmina miejsko-wiejska
134. MAZOWIECKIE; Halinów; miasto
135. MAZOWIECKIE; Halinów; obszar wiejski
136. MAZOWIECKIE; Jakubów; gmina wiejska
137. MAZOWIECKIE; Kałuszyn; gmina miejsko-wiejska
138. MAZOWIECKIE; Kałuszyn; miasto
139. MAZOWIECKIE; Kałuszyn; obszar wiejski
140. MAZOWIECKIE; Latowicz; gmina wiejska
141. MAZOWIECKIE; Mińsk Mazowiecki; gmina wiejska
142. MAZOWIECKIE; Mrozy; gmina miejsko-wiejska
143. MAZOWIECKIE; Mrozy; miasto
144. MAZOWIECKIE; Mrozy; obszar wiejski
145. MAZOWIECKIE; Siennica; gmina wiejska
146. MAZOWIECKIE; Stanisławów; gmina wiejska
147. MAZOWIECKIE; Sulejówek; gmina miejska
148. MAZOWIECKIE; mławski; powiat
149. MAZOWIECKIE; Mława; gmina miejska
150. MAZOWIECKIE; Dzierzgowo; gmina wiejska
151. MAZOWIECKIE; Lipowiec Kościelny; gmina wiejska
152. MAZOWIECKIE; Radzanów; gmina wiejska
153. MAZOWIECKIE; Strzegowo; gmina wiejska
154. MAZOWIECKIE; Stupsk; gmina wiejska
155. MAZOWIECKIE; Szreńsk; gmina wiejska
156. MAZOWIECKIE; Szydłowo; gmina wiejska
157. MAZOWIECKIE; Wieczfnia Kościelna; gmina wiejska
158. MAZOWIECKIE; Wiśniewo; gmina wiejska
159. MAZOWIECKIE; nowodworski; powiat
160. MAZOWIECKIE; Nowy Dwór Mazowiecki; gmina miejska
161. MAZOWIECKIE; Czosnów; gmina wiejska
162. MAZOWIECKIE; Leoncin; gmina wiejska
163. MAZOWIECKIE; Nasielsk; gmina miejsko-wiejska
164. MAZOWIECKIE; Nasielsk; miasto
165. MAZOWIECKIE; Nasielsk; obszar wiejski
166. MAZOWIECKIE; Pomiechówek; gmina wiejska
167. MAZOWIECKIE; Zakroczym; gmina miejsko-wiejska
168. MAZOWIECKIE; Zakroczym; miasto
169. MAZOWIECKIE; Zakroczym; obszar wiejski
170. MAZOWIECKIE; ostrołęcki; powiat
171. MAZOWIECKIE; Baranowo; gmina wiejska
172. MAZOWIECKIE; Czarnia; gmina wiejska
173. MAZOWIECKIE; Czerwin; gmina wiejska
174. MAZOWIECKIE; Goworowo; gmina wiejska
175. MAZOWIECKIE; Kadzidło; gmina wiejska
176. MAZOWIECKIE; Lelis; gmina wiejska
177. MAZOWIECKIE; Łyse; gmina wiejska
178. MAZOWIECKIE; Myszyniec; gmina miejsko-wiejska
179. MAZOWIECKIE; Myszyniec; miasto
180. MAZOWIECKIE; Myszyniec; obszar wiejski
181. MAZOWIECKIE; Olszewo-Borki; gmina wiejska
182. MAZOWIECKIE; Rzekuń; gmina wiejska
183. MAZOWIECKIE; Troszyn; gmina wiejska
184. MAZOWIECKIE; ostrowski; powiat
185. MAZOWIECKIE; Ostrów Mazowiecka; gmina miejska
186. MAZOWIECKIE; Andrzejewo; gmina wiejska
187. MAZOWIECKIE; Boguty-Pianki; gmina wiejska
188. MAZOWIECKIE; Brok; gmina miejsko-wiejska
189. MAZOWIECKIE; Brok; miasto
190. MAZOWIECKIE; Brok; obszar wiejski
191. MAZOWIECKIE; Małkinia Górna; gmina wiejska
192. MAZOWIECKIE; Nur; gmina wiejska
193. MAZOWIECKIE; Ostrów Mazowiecka; gmina wiejska
194. MAZOWIECKIE; Stary Lubotyń; gmina wiejska
195. MAZOWIECKIE; Szulborze Wielkie; gmina wiejska
196. MAZOWIECKIE; Wąsewo; gmina wiejska
197. MAZOWIECKIE; Zaręby Kościelne; gmina wiejska
198. MAZOWIECKIE; otwocki; powiat
199. MAZOWIECKIE; Józefów; gmina miejska
200. MAZOWIECKIE; Otwock; gmina miejska
201. MAZOWIECKIE; Celestynów; gmina wiejska
202. MAZOWIECKIE; Karczew; gmina miejsko-wiejska
203. MAZOWIECKIE; Karczew; miasto
204. MAZOWIECKIE; Karczew; obszar wiejski
205. MAZOWIECKIE; Kołbiel; gmina wiejska
206. MAZOWIECKIE; Osieck; gmina wiejska
207. MAZOWIECKIE; Sobienie-Jeziory; gmina wiejska
